code,product_url,specific_search_intent,family_topic,title,description
MTT-R0111,https://mttpackaging.com/products/perfume-and-refill-lift-off,custom perfume refill set Lift-off lid,Rigid gift boxes,Custom Perfume Refill Set Lift-Off Lid Box | MTT Packaging,"Custom perfume refill set packaging in a lift-off lid box, with two unequal bottle cavities. Tailor size, wrapping paper and finishes with MTT. Request a quote."
MTT-R0112,https://mttpackaging.com/products/lip-colour-wardrobe-drawer,custom lipstick set Drawer box,Rigid gift boxes,Custom Lipstick Set Drawer Box | MTT Packaging,"Custom lipstick set packaging in a drawer box, with five slim rectangular recesses. Tailor size, wrapping paper and finishes with MTT. Request a quote."
MTT-R0113,https://mttpackaging.com/products/facial-oil-and-stone-book,custom facial oil gift set Magnetic book box,Rigid gift boxes,Custom Facial Oil Gift Set Magnetic Book Box | MTT Packaging,"Custom facial oil gift set packaging in a magnetic book box, with one bottle well and one oval tool well. Tailor size, wrapping paper and finishes with MTT. Request a quote."
MTT-R0114,https://mttpackaging.com/products/bridal-fragrance-double-door,custom bridal perfume Double-door box,Rigid gift boxes,Custom Bridal Perfume Double-Door Box | MTT Packaging,"Custom bridal perfume packaging in a double-door box, with one bottle cavity with a card channel. Tailor size, wrapping paper and finishes with MTT. Request a quote."
MTT-R0115,https://mttpackaging.com/products/moisture-mask-collection-shoulder,custom face mask set Shoulder-neck box,Rigid gift boxes,Custom Face Mask Set Shoulder-Neck Box | MTT Packaging,"Custom face mask set packaging in a shoulder-neck box, with a flat sachet compartment. Tailor size, wrapping paper and finishes with MTT. Request a quote."
MTT-R0116,https://mttpackaging.com/products/professional-brush-set-stacked-drawers,custom makeup brush set Two-drawer box,Rigid gift boxes,Custom Makeup Brush Set Two-Drawer Box | MTT Packaging,"Custom makeup brush set packaging in a two-drawer box, with six long parallel tool slots. Tailor size, wrapping paper and finishes with MTT. Request a quote."
MTT-R0117,https://mttpackaging.com/products/haircare-gift-ritual-hexagonal,custom haircare gift set Hexagonal lift-off box,Rigid gift boxes,Custom Haircare Gift Set Hexagonal Lift-Off Box | MTT Packaging,"Custom haircare gift set packaging in a hexagonal lift-off box, with three tall container recesses. Tailor size, wrapping paper and finishes with MTT. Request a quote."
MTT-R0118,https://mttpackaging.com/products/miniature-makeup-collection-stacked-drawers,custom mini makeup set Two-drawer box,Rigid gift boxes,Custom Mini Makeup Set Two-Drawer Box | MTT Packaging,"Custom mini makeup set packaging in a two-drawer box, with two drawers with four square wells each. Tailor size, wrapping paper and finishes with MTT. Request a quote."
MTT-R0119,https://mttpackaging.com/products/powder-compact-gift-round,custom powder compact Round lift-off box,Rigid gift boxes,Custom Powder Compact Round Lift-Off Box | MTT Packaging,"Custom powder compact packaging in a round lift-off box, with one circular compact recess. Tailor size, wrapping paper and finishes with MTT. Request a quote."
MTT-R0120,https://mttpackaging.com/products/fragrance-layering-set-tiered,custom fragrance layering set Two-tier lift-off box,Rigid gift boxes,Custom Fragrance Layering Set Two-Tier Lift-Off Box | MTT Packaging,"Custom fragrance layering set packaging in a two-tier lift-off box, with a bottle tray above a small vial tray. Tailor size, wrapping paper and finishes with MTT. Request a quote."
MTT-R0201,https://mttpackaging.com/products/tea-tin-pairing-lift-off,custom tea tin gift set Lift-off lid,Rigid gift boxes,Custom Tea Tin Gift Set Lift-Off Lid Box | MTT Packaging,"Custom tea tin gift set packaging in a lift-off lid box, with two circular tin wells. Tailor size, wrapping paper and finishes with MTT. Request a quote."
MTT-R0202,https://mttpackaging.com/products/coffee-tasting-flight-drawer,custom coffee tasting set Drawer box,Rigid gift boxes,Custom Coffee Tasting Drawer Gift Box | Four Compartments,"Explore a four-compartment coffee tasting drawer box for sealed pouches, with printed wrap, a sliding tray and coordinated cards or ribbon."
MTT-R0203,https://mttpackaging.com/products/chocolate-selection-book,custom chocolate gift Magnetic book box,Rigid gift boxes,Custom Chocolate Gift Magnetic Book Box | MTT Packaging,"Custom chocolate gift packaging in a magnetic book box, with nine equal compartments for wrapped chocolates. Tailor size, wrapping paper and finishes with MTT. Request a quote."
MTT-R0204,https://mttpackaging.com/products/tea-ceremony-collection-double-door,custom tea ceremony set Double-door box,Rigid gift boxes,Custom Tea Ceremony Set Double-Door Box | MTT Packaging,"Custom tea ceremony set packaging in a double-door box, with two tin wells and one long utensil slot. Tailor size, wrapping paper and finishes with MTT. Request a quote."
MTT-R0205,https://mttpackaging.com/products/single-estate-tea-shoulder,custom single estate tea Shoulder-neck box,Rigid gift boxes,Custom Single Estate Tea Shoulder-Neck Box | MTT Packaging,"Custom single estate tea packaging in a shoulder-neck box, with one round tin recess. Tailor size, wrapping paper and finishes with MTT. Request a quote."
MTT-R0206,https://mttpackaging.com/products/coffee-and-chocolate-pairing-stacked-drawers,custom coffee chocolate gift set Two-drawer box,Rigid gift boxes,Custom Coffee Chocolate Gift Set Two-Drawer Box | MTT Packaging,"Custom coffee chocolate gift set packaging in a two-drawer box, with two compartments per drawer. Tailor size, wrapping paper and finishes with MTT. Request a quote."
MTT-R0207,https://mttpackaging.com/products/seasonal-tea-trio-hexagonal,custom tea sampler Hexagonal lift-off box,Rigid gift boxes,Custom Tea Sampler Hexagonal Lift-Off Box | MTT Packaging,"Custom tea sampler packaging in a hexagonal lift-off box, with three equal tin recesses. Tailor size, wrapping paper and finishes with MTT. Request a quote."
MTT-R0208,https://mttpackaging.com/products/chocolate-tasting-library-stacked-drawers,custom chocolate bar collection Two-drawer box,Rigid gift boxes,Custom Chocolate Bar Collection Two-Drawer Box | MTT Packaging,"Custom chocolate bar collection packaging in a two-drawer box, with six wrapped-bar channels per drawer. Tailor size, wrapping paper and finishes with MTT. Request a quote."
MTT-R0209,https://mttpackaging.com/products/cacao-truffle-gift-round,custom chocolate truffle Round lift-off box,Rigid gift boxes,Custom Chocolate Truffle Round Lift-Off Box | MTT Packaging,"Custom chocolate truffle packaging in a round lift-off box, with seven wrapped-confection compartments. Tailor size, wrapping paper and finishes with MTT. Request a quote."
MTT-R0210,https://mttpackaging.com/products/afternoon-tea-assortment-tiered,custom afternoon tea gift set Two-tier lift-off box,Rigid gift boxes,Custom Afternoon Tea Gift Set Two-Tier Lift-Off Box | MTT Packaging,"Custom afternoon tea gift set packaging in a two-tier lift-off box, with two shallow removable compartment trays. Tailor size, wrapping paper and finishes with MTT. Request a quote."
MTT-R0211,https://mttpackaging.com/products/matcha-ritual-gift-lift-off,custom matcha gift set Lift-off lid,Rigid gift boxes,Custom Matcha Gift Set Lift-Off Lid Box | MTT Packaging,"Custom matcha gift set packaging in a lift-off lid box, with one tin well and one long whisk compartment. Tailor size, wrapping paper and finishes with MTT. Request a quote."
MTT-R0212,https://mttpackaging.com/products/coffee-capsule-selection-drawer,custom coffee capsule Drawer box,Rigid gift boxes,Custom Coffee Capsule Drawer Box | MTT Packaging,"Custom coffee capsule packaging in a drawer box, with twelve round capsule recesses. Tailor size, wrapping paper and finishes with MTT. Request a quote."
MTT-R0213,https://mttpackaging.com/products/chocolate-bar-collection-book,custom chocolate bar gift Magnetic book box,Rigid gift boxes,Custom Chocolate Bar Gift Magnetic Book Box | MTT Packaging,"Custom chocolate bar gift packaging in a magnetic book box, with four parallel wrapped-bar compartments. Tailor size, wrapping paper and finishes with MTT. Request a quote."
MTT-R0214,https://mttpackaging.com/products/tea-origin-discovery-double-door,custom tea discovery set Double-door box,Rigid gift boxes,Custom Tea Discovery Set Double-Door Box | MTT Packaging,"Custom tea discovery set packaging in a double-door box, with six small tin recesses. Tailor size, wrapping paper and finishes with MTT. Request a quote."
MTT-R0215,https://mttpackaging.com/products/roaster-reserve-tin-shoulder,custom coffee tin Shoulder-neck box,Rigid gift boxes,Custom Coffee Tin Shoulder-Neck Box | MTT Packaging,"Custom coffee tin packaging in a shoulder-neck box, with one large circular tin cavity. Tailor size, wrapping paper and finishes with MTT. Request a quote."
MTT-R0216,https://mttpackaging.com/products/tea-and-honey-pairing-stacked-drawers,custom tea honey gift set Two-drawer box,Rigid gift boxes,Custom Tea Honey Gift Set Two-Drawer Box | MTT Packaging,"Custom tea honey gift set packaging in a two-drawer box, with two separate container wells per drawer. Tailor size, wrapping paper and finishes with MTT. Request a quote."
MTT-R0217,https://mttpackaging.com/products/winter-cocoa-gift-hexagonal,custom cocoa gift set Hexagonal lift-off box,Rigid gift boxes,Custom Cocoa Gift Set Hexagonal Lift-Off Box | MTT Packaging,"Custom cocoa gift set packaging in a hexagonal lift-off box, with one tin and two sachet compartments. Tailor size, wrapping paper and finishes with MTT. Request a quote."
MTT-R0218,https://mttpackaging.com/products/coffee-drip-bag-wardrobe-stacked-drawers,custom drip coffee bag Two-drawer box,Rigid gift boxes,Custom Drip Coffee Bag Two-Drawer Box | MTT Packaging,"Custom drip coffee bag packaging in a two-drawer box, with two drawers of upright sachet dividers. Tailor size, wrapping paper and finishes with MTT. Request a quote."
MTT-R0219,https://mttpackaging.com/products/celebration-chocolate-round-round,custom celebration chocolate Round lift-off box,Rigid gift boxes,Custom Celebration Chocolate Round Lift-Off Box | MTT Packaging,"Custom celebration chocolate packaging in a round lift-off box, with radial compartments for wrapped sweets. Tailor size, wrapping paper and finishes with MTT. Request a quote."
MTT-R0220,https://mttpackaging.com/products/festive-tea-tower-tiered,custom festive tea gift Two-tier lift-off box,Rigid gift boxes,Custom Festive Tea Gift Two-Tier Lift-Off Box | MTT Packaging,"Custom festive tea gift packaging in a two-tier lift-off box, with two removable trays with three wells each. Tailor size, wrapping paper and finishes with MTT. Request a quote."
MTT-R0301,https://mttpackaging.com/products/daily-supplement-duo-lift-off,custom supplement bottle set Lift-off lid,Rigid gift boxes,Custom Supplement Bottle Set Lift-Off Lid Box | MTT Packaging,"Custom supplement bottle set packaging in a lift-off lid box, with two sealed-bottle wells. Tailor size, wrapping paper and finishes with MTT. Request a quote."
MTT-R0302,https://mttpackaging.com/products/wellness-sachet-programme-drawer,custom wellness sachet Drawer box,Rigid gift boxes,Custom Wellness Sachet Drawer Box | MTT Packaging,"Custom wellness sachet packaging in a drawer box, with seven divided sachet compartments. Tailor size, wrapping paper and finishes with MTT. Request a quote."
MTT-R0303,https://mttpackaging.com/products/collagen-routine-set-book,custom collagen gift set Magnetic book box,Rigid gift boxes,Custom Collagen Gift Set Box | Matte & Spot UV,"Custom collagen set packaging with a tub well and sachet compartment. Review magnetic opening, matte wrap, selective gloss UV and the packed sample."
MTT-R0304,https://mttpackaging.com/products/vitamin-discovery-set-double-door,custom vitamin gift set Double-door box,Rigid gift boxes,Custom Vitamin Gift Set Double-Door Box | MTT Packaging,"Custom vitamin gift set packaging in a double-door box, with four separate sealed-bottle wells. Tailor size, wrapping paper and finishes with MTT. Request a quote."
MTT-R0305,https://mttpackaging.com/products/nutrition-powder-presentation-shoulder,custom nutrition powder Shoulder-neck box,Rigid gift boxes,Custom Nutrition Powder Shoulder-Neck Box | MTT Packaging,"Custom nutrition powder packaging in a shoulder-neck box, with one large tub recess. Tailor size, wrapping paper and finishes with MTT. Request a quote."
MTT-R0306,https://mttpackaging.com/products/morning-evening-routine-stacked-drawers,custom daily supplement set Two-drawer box,Rigid gift boxes,Custom Daily Supplement Set Two-Drawer Box | MTT Packaging,"Custom daily supplement set packaging in a two-drawer box, with two drawers each holding three bottles. Tailor size, wrapping paper and finishes with MTT. Request a quote."
MTT-R0307,https://mttpackaging.com/products/herbal-wellness-collection-hexagonal,custom herbal wellness gift Hexagonal lift-off box,Rigid gift boxes,Custom Herbal Wellness Gift Hexagonal Lift-Off Box | MTT Packaging,"Custom herbal wellness gift packaging in a hexagonal lift-off box, with three container wells. Tailor size, wrapping paper and finishes with MTT. Request a quote."
MTT-R0308,https://mttpackaging.com/products/travel-wellness-organiser-stacked-drawers,custom travel wellness sachet Two-drawer box,Rigid gift boxes,Custom Travel Wellness Sachet Two-Drawer Box | MTT Packaging,"Custom travel wellness sachet packaging in a two-drawer box, with two shallow sachet drawers. Tailor size, wrapping paper and finishes with MTT. Request a quote."
MTT-R0309,https://mttpackaging.com/products/single-jar-wellness-gift-round,custom wellness jar Round lift-off box,Rigid gift boxes,Custom Wellness Jar Round Lift-Off Box | MTT Packaging,"Custom wellness jar packaging in a round lift-off box, with one round sealed-jar cavity. Tailor size, wrapping paper and finishes with MTT. Request a quote."
MTT-R0310,https://mttpackaging.com/products/complete-wellness-programme-tiered,custom wellness programme kit Two-tier lift-off box,Rigid gift boxes,Custom Wellness Programme Kit Two-Tier Lift-Off Box | MTT Packaging,"Custom wellness programme kit packaging in a two-tier lift-off box, with a bottle tray above a sachet tray. Tailor size, wrapping paper and finishes with MTT. Request a quote."
MTT-R0311,https://mttpackaging.com/products/family-supplement-pairing-lift-off,custom family supplement set Lift-off lid,Rigid gift boxes,Custom Family Supplement Set Lift-Off Lid Box | MTT Packaging,"Custom family supplement set packaging in a lift-off lid box, with two different-size bottle cavities. Tailor size, wrapping paper and finishes with MTT. Request a quote."
MTT-R0312,https://mttpackaging.com/products/mineral-sachet-collection-drawer,custom mineral sachet Drawer box,Rigid gift boxes,Custom Mineral Sachet Drawer Box | MTT Packaging,"Custom mineral sachet packaging in a drawer box, with ten parallel sachet compartments. Tailor size, wrapping paper and finishes with MTT. Request a quote."
MTT-R0313,https://mttpackaging.com/products/protein-shaker-gift-book,custom protein shaker gift Magnetic book box,Rigid gift boxes,Custom Protein Shaker Gift Magnetic Book Box | MTT Packaging,"Custom protein shaker gift packaging in a magnetic book box, with one tub well and a tall cup well. Tailor size, wrapping paper and finishes with MTT. Request a quote."
MTT-R0314,https://mttpackaging.com/products/wellness-welcome-kit-double-door,custom wellness welcome kit Double-door box,Rigid gift boxes,Custom Wellness Welcome Kit Double-Door Box | MTT Packaging,"Custom wellness welcome kit packaging in a double-door box, with three bottle wells and a card pocket. Tailor size, wrapping paper and finishes with MTT. Request a quote."
MTT-R0315,https://mttpackaging.com/products/botanical-capsule-gift-shoulder,custom botanical capsule Shoulder-neck box,Rigid gift boxes,Custom Botanical Capsule Shoulder-Neck Box | MTT Packaging,"Custom botanical capsule packaging in a shoulder-neck box, with one sealed bottle well. Tailor size, wrapping paper and finishes with MTT. Request a quote."
MTT-R0316,https://mttpackaging.com/products/nutrition-starter-library-stacked-drawers,custom nutrition starter kit Two-drawer box,Rigid gift boxes,Custom Nutrition Starter Kit Two-Drawer Box | MTT Packaging,"Custom nutrition starter kit packaging in a two-drawer box, with four small container wells per drawer. Tailor size, wrapping paper and finishes with MTT. Request a quote."
MTT-R0317,https://mttpackaging.com/products/recovery-routine-collection-hexagonal,custom recovery gift set Hexagonal lift-off box,Rigid gift boxes,Custom Recovery Gift Set Hexagonal Lift-Off Box | MTT Packaging,"Custom recovery gift set packaging in a hexagonal lift-off box, with two container wells and a flat pouch well. Tailor size, wrapping paper and finishes with MTT. Request a quote."
MTT-R0318,https://mttpackaging.com/products/weekly-wellness-refill-stacked-drawers,custom wellness refill sachet Two-drawer box,Rigid gift boxes,Custom Wellness Refill Sachet Two-Drawer Box | MTT Packaging,"Custom wellness refill sachet packaging in a two-drawer box, with two drawers with seven narrow divisions. Tailor size, wrapping paper and finishes with MTT. Request a quote."
MTT-R0319,https://mttpackaging.com/products/premium-supplement-tin-round,custom supplement tin Round lift-off box,Rigid gift boxes,Custom Supplement Tin Round Lift-Off Box | MTT Packaging,"Custom supplement tin packaging in a round lift-off box, with one cylindrical container well. Tailor size, wrapping paper and finishes with MTT. Request a quote."
MTT-R0320,https://mttpackaging.com/products/wellness-gift-layers-tiered,custom wellness gift set Two-tier lift-off box,Rigid gift boxes,Custom Wellness Gift Set Two-Tier Lift-Off Box | MTT Packaging,"Custom wellness gift set packaging in a two-tier lift-off box, with two removable trays for sealed packs. Tailor size, wrapping paper and finishes with MTT. Request a quote."
MTT-R0401,https://mttpackaging.com/products/engagement-ring-keepsake-lift-off,custom engagement ring Lift-off lid,Rigid gift boxes,Custom Ring Keepsake Box | Cloth Wrap & Lift-Off Lid,"Cloth-wrapped ring keepsake packaging with a removable lid and fabric-lined ring slit. Review ring fit, lid clearance and foil on the chosen cloth."
MTT-R0402,https://mttpackaging.com/products/pendant-presentation-drawer,custom pendant Drawer box,Rigid gift boxes,Custom Pendant Drawer Box | MTT Packaging,"Custom pendant packaging in a drawer box, with a necklace pad with two chain notches. Tailor size, wrapping paper and finishes with MTT. Request a quote."
MTT-R0403,https://mttpackaging.com/products/watch-and-strap-collection-book,custom watch strap gift set Magnetic book box,Rigid gift boxes,Custom Watch Strap Gift Set Magnetic Book Box | MTT Packaging,"Custom watch strap gift set packaging in a magnetic book box, with one watch cushion and a long strap slot. Tailor size, wrapping paper and finishes with MTT. Request a quote."
MTT-R0404,https://mttpackaging.com/products/wedding-jewellery-set-double-door,custom wedding jewelry set Double-door box,Rigid gift boxes,Custom Wedding Jewelry Set Double-Door Box | MTT Packaging,"Custom wedding jewelry set packaging in a double-door box, with ring, pendant and earring positions. Tailor size, wrapping paper and finishes with MTT. Request a quote."
MTT-R0405,https://mttpackaging.com/products/statement-cuff-gift-shoulder,custom cuff bracelet Shoulder-neck box,Rigid gift boxes,Custom Cuff Bracelet Shoulder-Neck Box | MTT Packaging,"Custom cuff bracelet packaging in a shoulder-neck box, with one oval fabric-lined cuff well. Tailor size, wrapping paper and finishes with MTT. Request a quote."
MTT-R0406,https://mttpackaging.com/products/collector-watch-drawers-stacked-drawers,custom watch collection Two-drawer box,Rigid gift boxes,Custom Watch Collection Two-Drawer Box | MTT Packaging,"Custom watch collection packaging in a two-drawer box, with two watch cushions per drawer. Tailor size, wrapping paper and finishes with MTT. Request a quote."
MTT-R0407,https://mttpackaging.com/products/gemstone-necklace-gift-hexagonal,custom gemstone necklace Hexagonal lift-off box,Rigid gift boxes,Custom Gemstone Necklace Hexagonal Lift-Off Box | MTT Packaging,"Custom gemstone necklace packaging in a hexagonal lift-off box, with one shaped necklace presentation pad. Tailor size, wrapping paper and finishes with MTT. Request a quote."
MTT-R0408,https://mttpackaging.com/products/earring-collection-library-stacked-drawers,custom earring collection Two-drawer box,Rigid gift boxes,Custom Earring Collection Two-Drawer Box | MTT Packaging,"Custom earring collection packaging in a two-drawer box, with six small lined compartments per drawer. Tailor size, wrapping paper and finishes with MTT. Request a quote."
MTT-R0409,https://mttpackaging.com/products/single-watch-round-case-round,custom single watch Round lift-off box,Rigid gift boxes,Custom Single Watch Round Lift-Off Box | MTT Packaging,"Custom single watch packaging in a round lift-off box, with one centred watch cushion. Tailor size, wrapping paper and finishes with MTT. Request a quote."
MTT-R0410,https://mttpackaging.com/products/jewellery-wardrobe-layers-tiered,custom jewelry collection Two-tier lift-off box,Rigid gift boxes,Custom Jewelry Collection Two-Tier Lift-Off Box | MTT Packaging,"Custom jewelry collection packaging in a two-tier lift-off box, with a ring tray above a necklace tray. Tailor size, wrapping paper and finishes with MTT. Request a quote."
MTT-R0411,https://mttpackaging.com/products/anniversary-ring-pair-lift-off,custom ring pair Lift-off lid,Rigid gift boxes,Custom Ring Pair Lift-Off Lid Box | MTT Packaging,"Custom ring pair packaging in a lift-off lid box, with two fabric-lined ring slits. Tailor size, wrapping paper and finishes with MTT. Request a quote."
MTT-R0412,https://mttpackaging.com/products/bracelet-pull-out-gift-drawer,custom bracelet gift Drawer box,Rigid gift boxes,Custom Bracelet Gift Drawer Box | MTT Packaging,"Custom bracelet gift packaging in a drawer box, with one long bracelet channel. Tailor size, wrapping paper and finishes with MTT. Request a quote."
MTT-R0413,https://mttpackaging.com/products/pearl-necklace-presentation-book,custom pearl necklace Magnetic book box,Rigid gift boxes,Custom Pearl Necklace Magnetic Book Box | MTT Packaging,"Custom pearl necklace packaging in a magnetic book box, with one broad curved necklace pad. Tailor size, wrapping paper and finishes with MTT. Request a quote."
MTT-R0414,https://mttpackaging.com/products/watch-boutique-presentation-double-door,custom watch presentation Double-door box,Rigid gift boxes,Custom Watch Presentation Double-Door Box | MTT Packaging,"Custom watch presentation packaging in a double-door box, with one watch cushion and a card compartment. Tailor size, wrapping paper and finishes with MTT. Request a quote."
MTT-R0415,https://mttpackaging.com/products/brooch-keepsake-shoulder,custom brooch Shoulder-neck box,Rigid gift boxes,Custom Brooch Shoulder-Neck Box | MTT Packaging,"Custom brooch packaging in a shoulder-neck box, with one shallow padded brooch recess. Tailor size, wrapping paper and finishes with MTT. Request a quote."
MTT-R0416,https://mttpackaging.com/products/fine-jewellery-cabinet-stacked-drawers,custom fine jewelry Two-drawer box,Rigid gift boxes,Custom Fine Jewelry Two-Drawer Box | MTT Packaging,"Custom fine jewelry packaging in a two-drawer box, with separate ring and bracelet divisions. Tailor size, wrapping paper and finishes with MTT. Request a quote."
MTT-R0417,https://mttpackaging.com/products/bridal-jewellery-trio-hexagonal,custom bridal jewelry set Hexagonal lift-off box,Rigid gift boxes,Custom Bridal Jewelry Set Hexagonal Lift-Off Box | MTT Packaging,"Custom bridal jewelry set packaging in a hexagonal lift-off box, with three fabric-lined display zones. Tailor size, wrapping paper and finishes with MTT. Request a quote."
MTT-R0418,https://mttpackaging.com/products/cufflink-collector-stacked-drawers,custom cufflink collection Two-drawer box,Rigid gift boxes,Custom Cufflink Collection Two-Drawer Box | MTT Packaging,"Custom cufflink collection packaging in a two-drawer box, with four paired recesses per drawer. Tailor size, wrapping paper and finishes with MTT. Request a quote."
MTT-R0419,https://mttpackaging.com/products/charm-bracelet-round-gift-round,custom charm bracelet Round lift-off box,Rigid gift boxes,Custom Charm Bracelet Round Lift-Off Box | MTT Packaging,"Custom charm bracelet packaging in a round lift-off box, with one circular padded bracelet well. Tailor size, wrapping paper and finishes with MTT. Request a quote."
MTT-R0420,https://mttpackaging.com/products/watch-collectors-set-tiered,custom watch collector set Two-tier lift-off box,Rigid gift boxes,Custom Watch Collector Set Two-Tier Lift-Off Box | MTT Packaging,"Custom watch collector set packaging in a two-tier lift-off box, with two removable trays with watch cushions. Tailor size, wrapping paper and finishes with MTT. Request a quote."
MTT-R0501,https://mttpackaging.com/products/mooncake-quartet-lift-off,custom mooncake gift Lift-off lid,Rigid gift boxes,Custom Mooncake Gift Lift-Off Lid Box | MTT Packaging,"Custom mooncake gift packaging in a lift-off lid box, with four square wrapped-food compartments. Tailor size, wrapping paper and finishes with MTT. Request a quote."
MTT-R0502,https://mttpackaging.com/products/artisan-cookie-assortment-drawer,custom artisan cookie Drawer box,Rigid gift boxes,Custom Artisan Cookie Drawer Box | MTT Packaging,"Custom artisan cookie packaging in a drawer box, with six wrapped-cookie compartments. Tailor size, wrapping paper and finishes with MTT. Request a quote."
MTT-R0503,https://mttpackaging.com/products/festive-pastry-collection-book,custom pastry gift Magnetic book box,Rigid gift boxes,Custom Pastry Gift Magnetic Book Box | MTT Packaging,"Custom pastry gift packaging in a magnetic book box, with nine wrapped-pastry compartments. Tailor size, wrapping paper and finishes with MTT. Request a quote."
MTT-R0504,https://mttpackaging.com/products/gourmet-pantry-gift-double-door,custom gourmet food gift Double-door box,Rigid gift boxes,Custom Gourmet Food Gift Double-Door Box | MTT Packaging,"Custom gourmet food gift packaging in a double-door box, with two sealed-jar wells and a wrapped-food compartment. Tailor size, wrapping paper and finishes with MTT. Request a quote."
MTT-R0505,https://mttpackaging.com/products/fruit-preserve-presentation-shoulder,custom fruit preserve jar Shoulder-neck box,Rigid gift boxes,Custom Fruit Preserve Jar Shoulder-Neck Box | MTT Packaging,"Custom fruit preserve jar packaging in a shoulder-neck box, with one sealed-jar cavity. Tailor size, wrapping paper and finishes with MTT. Request a quote."
MTT-R0506,https://mttpackaging.com/products/biscuit-tasting-drawers-stacked-drawers,custom biscuit gift Two-drawer box,Rigid gift boxes,Custom Biscuit Gift Two-Drawer Box | MTT Packaging,"Custom biscuit gift packaging in a two-drawer box, with four wrapped-food cells per drawer. Tailor size, wrapping paper and finishes with MTT. Request a quote."
MTT-R0507,https://mttpackaging.com/products/festival-sweets-collection-hexagonal,custom festival sweet Hexagonal lift-off box,Rigid gift boxes,Custom Hexagonal Sweets Gift Box | Six Compartments,"Hexagonal rigid gift packaging for individually wrapped sweets, with six compartments, dyed paper and gold foil. Review fit and separate-lid alignment."
MTT-R0508,https://mttpackaging.com/products/pastry-discovery-library-stacked-drawers,custom pastry assortment Two-drawer box,Rigid gift boxes,Custom Pastry Assortment Two-Drawer Box | MTT Packaging,"Custom pastry assortment packaging in a two-drawer box, with three wrapped-pastry cells per drawer. Tailor size, wrapping paper and finishes with MTT. Request a quote."
MTT-R0509,https://mttpackaging.com/products/round-seasonal-cake-gift-round,custom seasonal cake Round lift-off box,Rigid gift boxes,Custom Seasonal Cake Round Lift-Off Box | MTT Packaging,"Custom seasonal cake packaging in a round lift-off box, with one recess for a separately sealed food tray. Tailor size, wrapping paper and finishes with MTT. Request a quote."
